ep_R_wt,ep_R_Q21M,ep_R_Q21A,ep_R_Y20I,logp,sigma_wt,sigma_Q21M,sigma_Q21A,sigma_Y20I
-13.990318458074857,-15.60218346561862,-10.282093042246707,-9.520067437437449,-8.099632726370485,0.015462281381114119,0.017730292957972477,0.07793731627697667,0.09511618561100431
-14.505864612823094,-17.56178463243225,-10.411253661562599,-9.71284126222181,-9.487939327987773,0.017736312779036277,0.018345729959874133,0.10252321518513562,0.11336161252968907
-14.101366867617637,-17.03033238850204,-10.233517905601635,-9.688115979983404,-8.906926702018577,0.015149417621947318,0.0201735533927365,0.07609930375693484,0.11817072787948034
-15.131860270130097,-16.106275692099068,-10.250120573143926,-9.793738600695654,-10.116641381403687,0.013796848754419362,0.016801839752047704,0.09463303650060836,0.16369908235252337
-13.829030885908812,-16.383880626490917,-10.277979778468502,-9.668106173667642,-8.709432664387894,0.022074224228684797,0.021758794362272325,0.07318715167585316,0.10848289938643117
-14.422836227567247,-15.050022042815167,-10.300853215960887,-9.712327777834242,-10.040820023608239,0.014602610329587493,0.01860081011798422,0.16655589060337678,0.1031473948099576
-14.040999094988926,-16.87509675084732,-10.420043343215255,-9.750523430376886,-8.421494970931247,0.014275619397260594,0.021322379629567942,0.08536286173191472,0.08625994408404429
-14.622049848142222,-15.680787852086121,-10.216108479998564,-9.618992325889684,-9.321331146983962,0.012277812490583087,0.017911451438403354,0.08145785667347773,0.14633394977330086
-17.006078387894842,-15.098511389212586,-10.402041804169553,-9.788841303819781,-8.91156833831436,0.020074479163329058,0.019753537136030223,0.07868617605893534,0.10361375692153155
-16.05316107370609,-15.576861836827668,-10.228187465891088,-9.708526562565066,-9.450453373661896,0.019577198211353793,0.01885265684290501,0.0889801651162179,0.1265782607155486
-14.163730615650543,-24.444567977424423,-10.291163652075745,-9.744767322511116,-10.857932248443785,0.01272595954958182,0.02320959616599662,0.10876047123473497,0.10325174536047117
-14.400068591439359,-16.528535471967388,-10.318152487366596,-9.719253488557863,-9.26117698415766,0.011262552674522102,0.021241449477837102,0.10622305846095773,0.1102913981559195
-14.0628665428781,-15.833448387620354,-10.183709593391914,-9.730404543981553,-8.529594816876946,0.01707573881619009,0.017501529768869005,0.0831086328026149,0.10658856356549705
-14.004672666989123,-29.503335932157903,-10.276440173914875,-9.703060579658752,-12.83181911563433,0.017087536670322447,0.01892290180563276,0.1343792906588055,0.11262796750360211
-13.94267363025959,-15.430830083161277,-10.279492477158085,-9.925926051502623,-9.022439973710892,0.017090545296286716,0.019872830348473966,0.09082767206307374,0.11932147034150312
-14.129191740361572,-15.584028954426905,-10.355345013933611,-9.666680678227936,-8.939422892343,0.014244515380560823,0.020426816601699874,0.09587296732671463,0.11220265525341398
-14.19827370584769,-15.580310177763488,-10.473557917400308,-9.80330197242445,-8.91038776943405,0.013926954718508867,0.021394732786994528,0.10778411776472975,0.0961388147965732
-14.166737130001728,-23.301478313830277,-10.24752785111723,-9.65820436965364,-10.340735117706547,0.01828042878605926,0.019350306548022687,0.10036921485404182,0.10177214412041652
-14.533118292890386,-16.418233655543318,-10.438333741722868,-9.770393736083767,-9.832609802967065,0.016921090340074614,0.017167974971769483,0.09922960871500021,0.14327515973042365
-14.606985941385107,-20.723984051692362,-10.421509232708448,-9.613937496230918,-9.601030923773004,0.013815473057190667,0.019079876128281867,0.08228221836745374,0.11141316692493486
-14.384053595881063,-14.99717145885318,-10.395509963916517,-9.541222192308794,-8.830388372794127,0.01521453791199548,0.018317663469581115,0.09834836310070375,0.11012039254384702
-14.483020364873928,-17.583419507954982,-10.421298324326937,-9.534587890472093,-9.172930923599473,0.018128545980226826,0.01922123263020382,0.100281813443895,0.09922239012542525
-14.161287552962127,-15.645713937862906,-10.238418603001875,-9.630072892180086,-8.384674513221944,0.013690167147874497,0.017808368665606762,0.08977340640488021,0.09775200614551295
-15.012278781849808,-17.420064391574048,-10.45375501669742,-9.722743673752907,-8.673701581280598,0.020185702219039925,0.018036789767174446,0.08936115103245829,0.08328061195581986
-13.821413732583517,-15.942681687924999,-10.10974192279306,-9.870646921468639,-8.885021221985689,0.014937718165701311,0.020215008110003835,0.089555273218331,0.1136968085965878
-14.55386704420401,-16.01754664486204,-10.233071726073595,-9.76470938128903,-9.185556578623096,0.013353602479895829,0.02232656586082858,0.10363934110151832,0.10796296631614576
-14.221665532078351,-15.481136648027908,-10.306317214166052,-9.720209579202038,-8.387188101233745,0.014591170504071426,0.01820812885741129,0.09268465519297495,0.09368767677773611
